observation_hours,horizon_hours,cohort_n,positive_rate,train_n,test_n,scale_pos_weight,accuracy,precision,recall,f1,roc_auc,pr_auc
6,24,46982,0.3438763781873909,37585,9397,1.9079303675048356,0.7509843567095882,0.6152055857253685,0.7363045496750232,0.6703296703296703,0.8251320652698231,0.715524237803593
6,36,40099,0.42315269707474,32079,8020,1.3632680123766023,0.7455112219451372,0.6890192791282481,0.7265763111373011,0.7072995841101392,0.8193779185108586,0.7638449928482289
6,48,33891,0.5187807972618099,27112,6779,0.9276217561322432,0.7331464817819737,0.7516205067766647,0.7253340915553028,0.7382433801186514,0.8125961106490381,0.8151077807932073
