,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic Regression,0.742151750558689,0.6032192130812468,0.7307335190343547,0.6608817354793562,0.8118022345360331,0.6920082173578214
Random Forest,0.7547089496647866,0.6283971159179146,0.7013308573197152,0.6628638291648383,0.8180581242791386,0.7022181761335385
XGBoost,0.7509843567095882,0.6152055857253685,0.7363045496750232,0.6703296703296703,0.8251320652698231,0.715524237803593
